Iteration;f0;f1;f2;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;__highlight_color;__filter;nds_rank
0;2.1546874;0.46490344;0.006558476;0.0018941602;0.13528556;0.7684306;0.8096701;0.07705059;0.025622176;0.3080239;0.15935247;0.25792816;0.03288865;0.8010629;0.8347893;;0;21
1;0.6641895;2.0299947;0.06502742;0.019375978;0.79869485;0.21039553;0.15325046;0.9951772;0.37802556;0.96443504;0.363568;0.5985679;0.33346048;0.8947577;0.004927066;;0;33
2;4.1688432e-05;2.171362e-05;2.05758;0.9999854;0.30569968;0.044701234;0.502256;0.02338025;0.96616423;0.13404305;0.7958599;0.5702538;0.5298651;0.5962374;0.08859302;;0;48
3;1.4891355;0.0108261425;0.81120074;0.31753922;0.0046281987;0.06732602;0.42584366;0.34224007;0.4244454;0.83984166;0.17188394;0.20691453;0.4244726;0.8895598;0.57726586;;0;20
4;0.2066779;1.9931611;0.6406075;0.19698317;0.9342217;0.8109382;0.7287762;0.40190884;0.7921366;0.10909966;0.3736035;0.8528215;0.03200935;0.17263936;0.9902303;;0;30
5;0.34214643;1.3050251;0.36226544;0.16700423;0.8367673;0.78434896;0.5162339;0.72754115;0.5582154;0.5025656;0.51501393;0.73670053;0.75420666;0.36302352;0.84784675;;0;27
6;0.100332424;0.57224953;1.2402407;0.72110796;0.8895046;0.86653817;0.39552844;0.7406082;0.55664515;0.27616563;0.647335;0.23909755;0.36582673;0.43492207;0.46696368;;0;45
7;0.7714382;1.6968441;0.2248389;0.07642205;0.7283553;0.16231488;0.42730108;0.11919013;0.5329759;0.27992648;0.04706737;0.21878545;0.101316445;0.84343165;0.44990975;;0;34
8;1.113353;0.28280443;1.3067757;0.5409245;0.15835953;0.75926924;0.77016103;0.060275193;0.13178751;0.3083451;0.33530444;0.20691445;0.43844274;0.7905793;0.3190111;;0;48
9;0.028793866;0.076444544;1.7601123;0.9704754;0.77067155;0.83224845;0.19207504;0.3873333;0.714242;0.9523897;0.12638962;0.83352005;0.61317164;0.5345731;0.6694894;;0;47
10;0.95538694;0.85885394;0.89347744;0.3868684;0.46615833;0.8743281;0.76152486;0.512505;0.45271698;0.11912937;0.62507606;0.7870704;0.6318091;0.19510363;0.5217016;;0;21
11;0.80285984;0.107962646;1.4539876;0.67639685;0.08509743;0.88407856;0.79956764;0.12223275;0.23180594;0.21568803;0.794701;0.6247959;0.35898337;0.56978774;0.43275154;;0;47
12;0.3014863;1.7988673;0.6797135;0.2270928;0.89428633;0.82148147;0.00093909516;0.49223632;0.13144124;0.94822913;0.7160844;0.42589903;0.42182383;0.05493879;0.4700077;;0;32
13;0.48354477;0.19795877;1.4579967;0.7809336;0.24737489;0.09990863;0.40412733;0.62657785;0.5692002;0.37004802;0.13999362;0.61402416;0.22588973;0.5252176;0.851356;;0;48
14;1.1928346;0.78229517;0.3614257;0.1579754;0.36953345;0.40452752;0.8797348;0.3459593;0.44859946;0.17256641;0.3215345;0.32333994;0.74607944;0.34681937;0.69385105;;0;25
15;1.366159;0.02759275;0.17396559;0.08061643;0.012856265;0.39001828;0.37790674;0.22725098;0.18272515;0.16465783;0.55024976;0.6537203;0.32518104;0.45034224;0.43858173;;0;22
16;0.6980544;1.2500938;0.30122522;0.13200949;0.6757882;0.17118016;0.68207103;0.42891502;0.6214673;0.37175363;0.4766246;0.657736;0.7101157;0.038873345;0.44177368;;0;25
17;0.023869038;1.4901896;1.1509901;0.41864625;0.98980385;0.096130565;0.22070895;0.1619658;0.57018423;0.75522715;0.8029479;0.015702732;0.5836255;0.24218711;0.25946683;;0;44
18;1.0757686;0.98018557;0.067963146;0.029707832;0.47042432;0.23640534;0.59958833;0.21274717;0.50075126;0.34729028;0.7288726;0.7439019;0.8970144;0.53225535;0.5341884;;0;20
19;0.2679788;0.3505071;1.6653523;0.83512443;0.5844492;0.8029177;0.20641169;0.6767097;0.6564032;0.90575886;0.34084722;0.81010544;0.7042407;0.4983684;0.90163916;;0;51
20;1.063629;1.1591296;0.18824512;0.07581691;0.52733546;0.36824283;0.24236605;0.14281154;0.5204522;0.8622683;0.54837835;0.41714135;0.19732481;0.14184633;0.611051;;0;21
21;0.57837886;1.1946274;0.93655926;0.39119765;0.71295613;0.4081665;0.44860584;0.38489115;0.9280201;0.36890042;0.87311554;0.18985325;0.33847293;0.49518204;0.12824108;;0;26
22;1.04477;0.97831106;0.7410182;0.30412868;0.4790943;0.35523868;0.13404384;0.7101812;0.5601395;0.62714916;0.30836764;0.2650898;0.3316032;0.8129625;0.9179759;;0;20
23;1.3060076;0.18695873;1.1072975;0.44451672;0.090518944;0.48087978;0.18224826;0.91628605;0.8828516;0.4594909;0.9480251;0.7644558;0.65132606;0.54588914;0.5624914;;0;43
